0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.96698884979524,49.76008278669798,49.85026461487582,50.0860221263437,50.01590675546121,50.03034636245683,49.93615610610504,49.92564286526968,-257.8004724029178,49.816231782895606,50.0518321821862,50.05065406971386,50.05001839280344,50.07203808098369,50.050523511842414,50.08308369119307,50.04233798231511,49.93344743439614,49.99106853664986,50.08782627093295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.059980284291676,49.76400278850666,49.66012961269929,50.21724017869735,50.19943953637509,50.09154204484011,49.68385142792534,50.06920032824842,49.816231782895606,-257.7495230912458,50.18789096277639,50.23984188166927,49.83883222627124,50.185925067318564,49.65844391438041,50.11804743870159,50.030788724530474,49.812507106454845,49.99342016919429,50.12220761546919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.985604105449376,50.150928724363396,50.24920499544947,49.578054121206485,49.837409818305325,49.86125193980662,50.2253765261366,49.93435816813455,50.0518321821862,50.18789096277639,-257.54543170126885,49.57623688723956,50.126863819255696,49.735349980691986,50.24419116141029,49.85091041823392,49.98784852352047,50.14025650700134,49.931522588602164,49.89034027149901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.97798927476579,50.16431217214567,50.25569149215999,49.57399219885617,49.824547418284766,49.85989113809964,50.247468214435195,49.941135862080706,50.05065406971386,50.23984188166927,49.57623688723956,-257.52986516470247,50.12151920833131,49.626039824232784,50.2527634739516,49.84687131379328,50.002833672059886,50.17230701594094,49.947419560419654,49.848350486522435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98375736174806,49.99095808241078,49.90554207654315,50.124844675227756,49.97399203560136,49.94435904191124,49.854034018061576,49.97903244387319,50.05001839280344,49.83883222627124,50.126863819255696,50.12151920833131,-257.63371822209314,50.07274345721234,49.7967109233602,49.878517216945816,49.87409528199655,49.856646804263974,50.12459302004333,50.13665813623213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.02761835427378,50.197433336182044,50.222265435209586,49.709922426467365,49.83405593062426,49.863850559651326,50.167731509520465,49.974927874913256,50.07203808098369,50.185925067318564,49.735349980691986,49.626039824232784,50.07274345721234,-257.6472396416774,50.18242128775164,49.86336611361177,49.96527435134713,50.143850480698674,49.96564840903124,49.83677716195554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,50.03894095278114,49.77986311249212,49.70178566676024,50.22121103945361,50.13316782567116,50.02752124000898,49.60687521734002,50.13239910290782,50.050523511842414,49.65844391438041,50.24419116141029,50.2527634739516,49.7967109233602,50.18242128775164,-257.66055953126016,50.10860752371216,49.96561506719211,49.74300625209827,49.97591428285491,50.040597975291085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,49.92883329394975,50.1907128977329,50.16607773551711,49.86751135249856,49.79997973207374,49.78569053155405,50.126998288167805,49.933691993851724,50.08308369119307,50.11804743870159,49.85091041823392,49.84687131379328,49.878517216945816,49.86336611361177,50.10860752371216,-257.4974097226332,49.845635113769546,50.06084533999662,50.0140642167255,50.02796551060433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,50.13170151697449,50.105668251535654,50.11273399364409,49.992870480713776,49.94298699535826,49.7509517008937,50.0172674161438,50.003863441156994,50.04233798231511,50.030788724530474,49.98784852352047,50.002833672059886,49.87409528199655,49.96527435134713,49.96561506719211,49.845635113769546,-257.8168054928135,49.91575022936517,50.05445707247866,50.07412567781765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,49.99137993627992,49.87514584883287,49.8352658085915,50.16055994649845,50.10049962082135,50.013964914686944,49.7780701249058,50.028103697657464,49.93344743439614,49.812507106454845,50.14025650700134,50.17230701594094,49.856646804263974,50.143850480698674,49.74300625209827,50.06084533999662,49.91575022936517,-257.6312178281734,49.993087422312925,50.07652333737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,49.91297368420145,49.916579892033305,49.913029962347295,49.943995229550005,49.958008184601276,50.02657520459552,49.98498934520904,50.03011097006237,49.99106853664986,49.99342016919429,49.931522588602164,49.947419560419654,50.12459302004333,49.96564840903124,49.97591428285491,50.0140642167255,50.05445707247866,49.993087422312925,-257.5233434128374,49.84588566192462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,49.891610197182,49.95069990745129,49.98706974106281,49.86938953677091,49.95558189469322,50.042576678450075,50.06219680292597,49.94073832409789,50.08782627093295,50.12220761546919,49.89034027149901,49.848350486522435,50.13665813623213,49.83677716195554,50.040597975291085,50.02796551060433,50.07412567781765,50.07652333737018,49.84588566192462,-257.6871211882533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-257.6600610436742,50.01868147483994,49.935006635722694,49.99184617564161,49.96773099371021,49.98969990976817,50.02909977190628,49.830618270392634,49.96698884979524,50.059980284291676,49.985604105449376,49.97798927476579,49.98375736174806,50.02761835427378,50.03894095278114,49.92883329394975,50.13170151697449,49.99137993627992,49.91297368420145,49.891610197182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.01868147483994,-257.77360358662406,49.69039381799177,50.15328010876115,50.14267123618357,50.197263560320515,49.72532376181798,49.999601826324486,49.76008278669798,49.76400278850666,50.150928724363396,50.16431217214567,49.99095808241078,50.197433336182044,49.77986311249212,50.1907128977329,50.105668251535654,49.87514584883287,49.916579892033305,49.95069990745129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.935006635722694,49.69039381799177,-257.7701547724613,50.25805320890327,50.152675862947895,50.17090055714113,49.582103868354665,50.1219596865395,49.85026461487582,49.66012961269929,50.24920499544947,50.25569149215999,49.90554207654315,50.222265435209586,49.70178566676024,50.16607773551711,50.11273399364409,49.8352658085915,49.913029962347295,49.98706974106281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99184617564161,50.15328010876115,50.25805320890327,-257.5546050213493,49.84173016179674,49.88710561745397,50.19850562831719,49.87847080819124,50.0860221263437,50.21724017869735,49.578054121206485,49.57399219885617,50.124844675227756,49.709922426467365,50.22121103945361,49.86751135249856,49.992870480713776,50.16055994649845,49.943995229550005,49.86938953677091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.96773099371021,50.14267123618357,50.152675862947895,49.84173016179674,-257.6549407448727,49.923299031655425,50.16767579189115,49.883581918816695,50.01590675546121,50.19943953637509,49.837409818305325,49.824547418284766,49.97399203560136,49.83405593062426,50.13316782567116,49.79997973207374,49.94298699535826,50.10049962082135,49.958008184601276,49.95558189469322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98969990976817,50.197263560320515,50.17090055714113,49.88710561745397,49.923299031655425,-257.5535672385503,50.11977158933933,49.96700561591669,50.03034636245683,50.09154204484011,49.86125193980662,49.85989113809964,49.94435904191124,49.863850559651326,50.02752124000898,49.78569053155405,49.7509517008937,50.013964914686944,50.02657520459552,50.042576678450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.02909977190628,49.72532376181798,49.582103868354665,50.19850562831719,50.16767579189115,50.11977158933933,-257.66288364439527,50.149388235892005,49.93615610610504,49.68385142792534,50.2253765261366,50.247468214435195,49.854034018061576,50.167731509520465,49.60687521734002,50.126998288167805,50.0172674161438,49.7780701249058,49.98498934520904,50.06219680292597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.830618270392634,49.999601826324486,50.1219596865395,49.87847080819124,49.883581918816695,49.96700561591669,50.149388235892005,-257.7238314343273,49.92564286526968,50.06920032824842,49.93435816813455,49.941135862080706,49.97903244387319,49.974927874913256,50.13239910290782,49.933691993851724,50.003863441156994,50.028103697657464,50.03011097006237,49.94073832409789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.96698884979524,49.76008278669798,49.85026461487582,50.0860221263437,50.01590675546121,50.03034636245683,49.93615610610504,49.92564286526968,-257.8004724029178,49.816231782895606,50.0518321821862,50.05065406971386,50.05001839280344,50.07203808098369,50.050523511842414,50.08308369119307,50.04233798231511,49.93344743439614,49.99106853664986,50.08782627093295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.059980284291676,49.76400278850666,49.66012961269929,50.21724017869735,50.19943953637509,50.09154204484011,49.68385142792534,50.06920032824842,49.816231782895606,-257.7495230912458,50.18789096277639,50.23984188166927,49.83883222627124,50.185925067318564,49.65844391438041,50.11804743870159,50.030788724530474,49.812507106454845,49.99342016919429,50.12220761546919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.985604105449376,50.150928724363396,50.24920499544947,49.578054121206485,49.837409818305325,49.86125193980662,50.2253765261366,49.93435816813455,50.0518321821862,50.18789096277639,-257.54543170126885,49.57623688723956,50.126863819255696,49.735349980691986,50.24419116141029,49.85091041823392,49.98784852352047,50.14025650700134,49.931522588602164,49.89034027149901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.97798927476579,50.16431217214567,50.25569149215999,49.57399219885617,49.824547418284766,49.85989113809964,50.247468214435195,49.941135862080706,50.05065406971386,50.23984188166927,49.57623688723956,-257.52986516470247,50.12151920833131,49.626039824232784,50.2527634739516,49.84687131379328,50.002833672059886,50.17230701594094,49.947419560419654,49.848350486522435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98375736174806,49.99095808241078,49.90554207654315,50.124844675227756,49.97399203560136,49.94435904191124,49.854034018061576,49.97903244387319,50.05001839280344,49.83883222627124,50.126863819255696,50.12151920833131,-257.63371822209314,50.07274345721234,49.7967109233602,49.878517216945816,49.87409528199655,49.856646804263974,50.12459302004333,50.13665813623213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.02761835427378,50.197433336182044,50.222265435209586,49.709922426467365,49.83405593062426,49.863850559651326,50.167731509520465,49.974927874913256,50.07203808098369,50.185925067318564,49.735349980691986,49.626039824232784,50.07274345721234,-257.6472396416774,50.18242128775164,49.86336611361177,49.96527435134713,50.143850480698674,49.96564840903124,49.83677716195554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,50.03894095278114,49.77986311249212,49.70178566676024,50.22121103945361,50.13316782567116,50.02752124000898,49.60687521734002,50.13239910290782,50.050523511842414,49.65844391438041,50.24419116141029,50.2527634739516,49.7967109233602,50.18242128775164,-257.66055953126016,50.10860752371216,49.96561506719211,49.74300625209827,49.97591428285491,50.040597975291085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,49.92883329394975,50.1907128977329,50.16607773551711,49.86751135249856,49.79997973207374,49.78569053155405,50.126998288167805,49.933691993851724,50.08308369119307,50.11804743870159,49.85091041823392,49.84687131379328,49.878517216945816,49.86336611361177,50.10860752371216,-257.4974097226332,49.845635113769546,50.06084533999662,50.0140642167255,50.02796551060433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-100.0,-200.0,-400.0,-100.0
